Country,Year,KG_Per_Capita
Argentina,1990,55.36999455
Argentina,1991,51.6379829
Argentina,1992,50.78917845
Argentina,1993,51.46466658
Argentina,1994,48.37523314
Argentina,1995,43.48520527
Argentina,1996,44.00235355
Argentina,1997,44.63931054
Argentina,1998,41.42852079
Argentina,1999,45.53406375
Argentina,2000,45.05369553
Argentina,2001,43.75816387
Argentina,2002,40.28261809
Argentina,2003,41.62165283
Argentina,2004,43.50166344
Argentina,2005,42.64426647
Argentina,2006,43.78944807
Argentina,2007,47.07573734
Argentina,2008,46.91601865
Argentina,2009,46.70195238
Argentina,2010,39.44771611
Argentina,2011,37.86109804
Argentina,2012,40.22398303
Australia,1990,4.11E-06
Australia,1991,27.80840108
Australia,1992,26.27816552
Australia,1993,26.24447845
Australia,1994,25.54124443
Australia,1995,25.40755506
Australia,1996,27.32871138
Australia,1997,28.87369842
Australia,1998,26.65334856
Australia,1999,27.98166484
Australia,2000,26.41187439
Australia,2001,24.51133092
Australia,2002,25.16673568
Australia,2003,25.86188253
Australia,2004,28.61969874
Australia,2005,27.1085763
Australia,2006,26.96786371
Australia,2007,24.13130913
Australia,2008,23.33147702
Australia,2009,23.46654196
Australia,2010,25.34944159
Australia,2011,23.34758044
Australia,2012,22.51522379
Brazil,1990,21.00484697
Brazil,1991,21.00289251
Brazil,1992,20.434097
Brazil,1993,20.65822176
Brazil,1994,21.84518633
Brazil,1995,24.65575122
Brazil,1996,26.2060726
Brazil,1997,24.24898441
Brazil,1998,22.68253061
Brazil,1999,23.96804496
Brazil,2000,24.32888571
Brazil,2001,23.7907803
Brazil,2002,24.31271529
Brazil,2003,27.99023207
Brazil,2004,26.75824105
Brazil,2005,27.5229855
Brazil,2006,29.73337727
Brazil,2007,28.67531233
Brazil,2008,25.17855932
Brazil,2009,24.44475692
Brazil,2010,25.30571519
Brazil,2011,24.63318936
Brazil,2012,24.83554533
Canada,1990,24.86491268
Canada,1991,24.32025859
Canada,1992,23.69598282
Canada,1993,22.67521854
Canada,1994,23.09363083
Canada,1995,23.17703301
Canada,1996,22.92039851
Canada,1997,22.98216308
Canada,1998,23.25823293
Canada,1999,23.68157934
Canada,2000,23.29835889
Canada,2001,22.39478072
Canada,2002,22.31287464
Canada,2003,23.55089284
Canada,2004,22.61556353
Canada,2005,21.90997368
Canada,2006,21.63915763
Canada,2007,22.08571722
Canada,2008,21.43037746
Canada,2009,20.40741399
Canada,2010,20.17848837
Canada,2011,19.69178359
Canada,2012,19.80382062
China,1990,0.641784078
China,1991,0.752711761
China,1992,1.003120034
