Country,Country Code,Continent,Region,Year,Population,Emissions,Emissions Per Capita,Beef Consumption Per Capita,Total Beef Consumption
Argentina,32,Americas,South America,2012,42096739,88476432,2.101740755,40.22398303,1693298515
Argentina,32,Americas,South America,2011,41656879,87609016,2.103110413,37.86109804,1577175180
Argentina,32,Americas,South America,2010,41223889,86741600,2.104158586,39.44771611,1626188270
Argentina,32,Americas,South America,2009,40799407,93113200,2.282219445,46.70195238,1905411963
Argentina,32,Americas,South America,2008,40382389,97896600,2.424239933,46.91601865,1894580915
Argentina,32,Americas,South America,2007,39970224,97783600,2.446411108,47.07573734,1881627766
Argentina,32,Americas,South America,2006,39558890,100025000,2.528508763,43.78944807,1732261959
Argentina,32,Americas,South America,2005,39145488,100126000,2.55779159,42.64426647,1669330621
Argentina,32,Americas,South America,2004,38728696,101501000,2.620821522,43.50166344,1684762699
Argentina,32,Americas,South America,2003,38309379,101066000,2.638152918,41.62165283,1594499673
Argentina,32,Americas,South America,2002,37889370,95893300,2.530876074,40.28261809,1526283021
Argentina,32,Americas,South America,2001,37471509,98515100,2.629066793,43.75816387,1639684431
Argentina,32,Americas,South America,2000,37057452,99214100,2.677304959,45.05369553,1669575160
Argentina,32,Americas,South America,1999,36648068,98301300,2.682305108,45.53406375,1668735465
Argentina,32,Americas,South America,1998,36241590,100269000,2.76668325,41.42852079,1501435465
Argentina,32,Americas,South America,1997,35833969,102577000,2.862563173,44.63931054,1599603670
Argentina,32,Americas,South America,1996,35419682,101400000,2.862815087,44.00235355,1558549370
Argentina,32,Americas,South America,1995,34994814,102195000,2.920289846,43.48520527,1521756670
Argentina,32,Americas,South America,1994,34558115,101069000,2.924609748,48.37523314,1671756870
Argentina,32,Americas,South America,1993,34110917,101568000,2.977580462,51.46466658,1755506970
Argentina,32,Americas,South America,1992,33655151,102146000,3.035077751,50.78917845,1709317470
Argentina,32,Americas,South America,1991,33193918,100648000,3.032121728,51.6379829,1714066970
Argentina,32,Americas,South America,1990,32729739,102083000,3.118967738,55.36999455,1812245470
Australia,36,Oceania,Australia and New Zealand,2012,22742475,125588193.6,5.522186728,22.51522379,512051914.2
Australia,36,Oceania,Australia and New Zealand,2011,22340024,124100341.8,5.555067524,23.34758044,521585507.4
Australia,36,Oceania,Australia and New Zealand,2010,22031750,122574000,5.563516289,25.34944159,558492559.8
Australia,36,Oceania,Australia and New Zealand,2009,21691700,127532000,5.879299456,23.46654196,509029188.2
Australia,36,Oceania,Australia and New Zealand,2008,21249200,122245000,5.752922463,23.33147702,495775221.5
Australia,36,Oceania,Australia and New Zealand,2007,20827600,135612000,6.511167873,24.13130913,502597254
Australia,36,Oceania,Australia and New Zealand,2006,20697900,119085000,5.753482237,26.96786371,558178146.3
Australia,36,Oceania,Australia and New Zealand,2005,20394800,122172000,5.990350481,27.1085763,552873991.9
Australia,36,Oceania,Australia and New Zealand,2004,20127400,126732000,6.29649135,28.61969874,576040124.4
Australia,36,Oceania,Australia and New Zealand,2003,19895400,125529000,6.309448415,25.86188253,514532497.7
Australia,36,Oceania,Australia and New Zealand,2002,19651400,132305000,6.732599204,25.16673568,494561589.5
Australia,36,Oceania,Australia and New Zealand,2001,19413000,136147000,7.01318704,24.51133092,475838467.1
Australia,36,Oceania,Australia and New Zealand,2000,19153000,128133000,6.68997024,26.41187439,505866630.2
Australia,36,Oceania,Australia and New Zealand,1999,18926000,121783000,6.434693015,27.98166484,529580988.8
Australia,36,Oceania,Australia and New Zealand,1998,18711000,116914000,6.248410026,26.65334856,498710804.9
Australia,36,Oceania,Australia and New Zealand,1997,18517000,118625000,6.406275315,28.87369842,534654273.6
Australia,36,Oceania,Australia and New Zealand,1996,18311000,113515000,6.199279122,27.32871138,500416034.1
Australia,36,Oceania,Australia and New Zealand,1995,18072000,112637000,6.23268039,25.40755506,459165335
Australia,36,Oceania,Australia and New Zealand,1994,17855000,123283000,6.904676561,25.54124443,456038919.3
Australia,36,Oceania,Australia and New Zealand,1993,17667000,112836000,6.38682289,26.24447845,463661200.8
Australia,36,Oceania,Australia and New Zealand,1992,17495000,116503000,6.659216919,26.27816552,459736505.8
Australia,36,Oceania,Australia and New Zealand,1991,17284000,120601000,6.97760935,27.80840108,480640404.3
Australia,36,Oceania,Australia and New Zealand,1990,17065100,115150000,6.747689729,4.11E-06,70.137561
Brazil,76,Americas,South America,2012,200560983,477076794.6,2.378711888,24.83554533,4981041385
Brazil,76,Americas,South America,2011,198686688,469456497.3,2.362797941,24.63318936,4894286809
Brazil,76,Americas,South America,2010,196796269,443289000,2.25252746,25.30571519,4980070334
Brazil,76,Americas,South America,2009,194895996,421609000,2.163251214,24.44475692,4764185247
Brazil,76,Americas,South America,2008,192979029,421460000,2.183967876,25.17855932,4858933929
Brazil,76,Americas,South America,2007,191026637,412677000,2.160311287,28.67531233,5477748479
Brazil,76,Americas,South America,2006,189012412,407314000,2.154959009,29.73337727,5619977355
Brazil,76,Americas,South America,2005,186917361,492336000,2.633976841,27.5229855,5144523817
Brazil,76,Americas,South America,2004,184738458,459552000,2.48758166,26.75824105,4943276190
Brazil,76,Americas,South America,2003,182482149,419110000,2.296717801,27.99023207,5107717699
Brazil,76,Americas,South America,2002,180151021,388268000,2.155236189,24.31271529,4379960483
Brazil,76,Americas,South America,2001,177750670,367626000,2.068211613,23.7907803,4228827138
Brazil,76,Americas,South America,2000,175287587,343027000,1.956938343,24.32888571,4264551671
Brazil,76,Americas,South America,1999,172759243,361634000,2.093283078,23.96804496,4140701303
