Country,Country Code,Continent,Region,Year,Population,Total Beef Consumption,Beef Consumption Per Capita
Argentina,032,Americas,South America,2012,42096739,1693298515,40.22398303
Argentina,032,Americas,South America,2011,41656879,1577175180,37.86109804
Argentina,032,Americas,South America,2010,41223889,1626188270,39.44771611
Argentina,032,Americas,South America,2009,40799407,1905411963,46.70195238
Argentina,032,Americas,South America,2008,40382389,1894580915,46.91601865
Argentina,032,Americas,South America,2007,39970224,1881627766,47.07573734
Argentina,032,Americas,South America,2006,39558890,1732261959,43.78944807
Argentina,032,Americas,South America,2005,39145488,1669330621,42.64426647
Argentina,032,Americas,South America,2004,38728696,1684762699,43.50166344
Argentina,032,Americas,South America,2003,38309379,1594499673,41.62165283
Argentina,032,Americas,South America,2002,37889370,1526283021,40.28261809
Argentina,032,Americas,South America,2001,37471509,1639684431,43.75816387
Argentina,032,Americas,South America,2000,37057452,1669575160,45.05369553
Argentina,032,Americas,South America,1999,36648068,1668735465,45.53406375
Argentina,032,Americas,South America,1998,36241590,1501435465,41.42852079
Argentina,032,Americas,South America,1997,35833969,1599603670,44.63931054
Argentina,032,Americas,South America,1996,35419682,1558549370,44.00235355
Argentina,032,Americas,South America,1995,34994814,1521756670,43.48520527
Argentina,032,Americas,South America,1994,34558115,1671756870,48.37523314
Argentina,032,Americas,South America,1993,34110917,1755506970,51.46466658
Argentina,032,Americas,South America,1992,33655151,1709317470,50.78917845
Argentina,032,Americas,South America,1991,33193918,1714066970,51.6379829
Argentina,032,Americas,South America,1990,32729739,1812245470,55.36999455
Australia,036,Oceania,Australia and New Zealand,2012,22742475,512051914.2,22.51522379
Australia,036,Oceania,Australia and New Zealand,2011,22340024,521585507.4,23.34758044
Australia,036,Oceania,Australia and New Zealand,2010,22031750,558492559.8,25.34944159
Australia,036,Oceania,Australia and New Zealand,2009,21691700,509029188.2,23.46654196
Australia,036,Oceania,Australia and New Zealand,2008,21249200,495775221.5,23.33147702
Australia,036,Oceania,Australia and New Zealand,2007,20827600,502597254,24.13130913
Australia,036,Oceania,Australia and New Zealand,2006,20697900,558178146.3,26.96786371
Australia,036,Oceania,Australia and New Zealand,2005,20394800,552873991.9,27.1085763
Australia,036,Oceania,Australia and New Zealand,2004,20127400,576040124.4,28.61969874
Australia,036,Oceania,Australia and New Zealand,2003,19895400,514532497.7,25.86188253
Australia,036,Oceania,Australia and New Zealand,2002,19651400,494561589.5,25.16673568
Australia,036,Oceania,Australia and New Zealand,2001,19413000,475838467.1,24.51133092
Australia,036,Oceania,Australia and New Zealand,2000,19153000,505866630.2,26.41187439
Australia,036,Oceania,Australia and New Zealand,1999,18926000,529580988.8,27.98166484
Australia,036,Oceania,Australia and New Zealand,1998,18711000,498710804.9,26.65334856
Australia,036,Oceania,Australia and New Zealand,1997,18517000,534654273.6,28.87369842
Australia,036,Oceania,Australia and New Zealand,1996,18311000,500416034.1,27.32871138
Australia,036,Oceania,Australia and New Zealand,1995,18072000,459165335,25.40755506
Australia,036,Oceania,Australia and New Zealand,1994,17855000,456038919.3,25.54124443
Australia,036,Oceania,Australia and New Zealand,1993,17667000,463661200.8,26.24447845
Australia,036,Oceania,Australia and New Zealand,1992,17495000,459736505.8,26.27816552
Australia,036,Oceania,Australia and New Zealand,1991,17284000,480640404.3,27.80840108
Australia,036,Oceania,Australia and New Zealand,1990,17065100,70.137561,4.11E-06
Brazil,076,Americas,South America,2012,200560983,4981041385,24.83554533
Brazil,076,Americas,South America,2011,198686688,4894286809,24.63318936
Brazil,076,Americas,South America,2010,196796269,4980070334,25.30571519
Brazil,076,Americas,South America,2009,194895996,4764185247,24.44475692
Brazil,076,Americas,South America,2008,192979029,4858933929,25.17855932
Brazil,076,Americas,South America,2007,191026637,5477748479,28.67531233
Brazil,076,Americas,South America,2006,189012412,5619977355,29.73337727
Brazil,076,Americas,South America,2005,186917361,5144523817,27.5229855
Brazil,076,Americas,South America,2004,184738458,4943276190,26.75824105
Brazil,076,Americas,South America,2003,182482149,5107717699,27.99023207
Brazil,076,Americas,South America,2002,180151021,4379960483,24.31271529
Brazil,076,Americas,South America,2001,177750670,4228827138,23.7907803
